지역,대학,계열,전형유형,전형명,모집단위명,2018,2019,2020,2021,2022,경쟁률 추이
강원,강릉원주대,자연,1.학생부종합,농어촌학생전형(외),생명과학대학,2.63,2.63,4.25,2.38,,
강원,강릉원주대,자연,1.학생부종합,농어촌학생전형(외),자연과학대학,2.83,1.67,2.5,1.33,,
강원,강릉원주대,자연,1.학생부종합,농어촌학생전형(외),치위생학과,8,5,8,4,,
강원,강릉원주대,자연,1.학생부종합,농어촌학생전형(외),치의예과,4,14,1.5,14,,
강원,강릉원주대,자연,1.학생부종합,저소득전형(외),간호학과,21,9,9,7,,
강원,강릉원주대,자연,1.학생부종합,저소득전형(외),공과대학,3.2,2.2,1.6,1.4,,
강원,강릉원주대,자연,1.학생부종합,저소득전형(외),과학기술대학,4.57,3.57,3.14,1.83,,
강원,강릉원주대,자연,1.학생부종합,저소득전형(외),생명과학대학,2.75,2.43,1.57,1.86,,
강원,강릉원주대,자연,1.학생부종합,저소득전형(외),자연과학대학,2.4,2.4,1.8,1.2,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,간호학과,8.14,7.71,11.17,10,9.33,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,기계공학과,4.86,3.67,4.33,2.2,1.67,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,대기환경과학과,5.2,4.2,3,1.2,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,멀티미디어공학과,3.67,4,4,2.5,2.4,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,물리학과,2,1.56,1.33,0.25,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,산업경영공학과,3.5,2,2.75,1.8,2,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,생명화학공학과,4.5,2.17,3.75,2.33,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,생물학과,2.25,2.25,2.67,3.33,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,세라믹신소재공학과,2.75,2.83,2.33,1.14,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,수산생명의학과,2.5,2.33,3,1.5,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,수학과,2.4,1.8,2.5,2.3,1,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,식물생명과학과,3.1,2.86,2.67,4.33,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,식품가공유통학과,3.6,1.71,3.2,2,2.6,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,식품영양학과,3.9,3,5,3.25,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,자동차공학과,,,3,4.25,2.25,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,전기공학과,6.75,5,9.5,4.8,3.2,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,전자공학과,4.07,2.71,3.4,2.25,2.42,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,정보통계학과,3.2,2,2.5,1.33,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,정보통신공학과,3.6,4,3.4,1.4,1.67,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,치위생학과,10,6.9,7.5,3.1,,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,치의예과,5.83,11.5,14.67,13.17,20.5,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,컴퓨터공학과,2.89,5.5,5.08,4.9,4.42,
강원,강릉원주대,자연,1.학생부종합,지역인재전형,토목공학과,6.5,9.75,7,3.4,,
